"me.species","me.records","me.auc","null.auc"
"Aagaardia sivertseni.csv",38,0.8627,0.691157894736842
"Acanthocnema glaucescens.csv",16,0.8308,0.75865625
"Acanthocnema nigrimana.csv",12,0.7624,0.76225
"Acartophthalmus pusio.csv",6,0.7777,0.839
"Achalcus bimaculatus.csv",12,0.886,0.777083333333333
"Achalcus melanotrichus.csv",42,0.8495,0.677047619047619
"Achalcus thalhammeri.csv",13,0.9144,0.746923076923077
"Acletoxenus formosus.csv",27,0.855,0.735185185185185
"Acodiplodis inulae.csv",10,0.9954,0.7964
"Acrocera orbiculus.csv",344,0.8448,0.571203488372093
"Acropsilus niger.csv",7,0.8691,0.844285714285714
"Actenoptera hilarella.csv",20,0.82,0.7558
"Actocetor (Actocetor) indicus.csv",7,0.9657,0.823142857142857
"Aedes (Ochlerotatus) punctodes.csv",11,0.7664,0.810181818181818
"Agria mamillata.csv",13,0.856,0.770307692307692
"Agromyza alnibetulae.csv",271,0.8885,0.584249077490775
"Agromyza alunulata.csv",20,0.867,0.72765
"Agromyza demeijerei.csv",30,0.8798,0.706366666666667
"Agromyza dipsaci.csv",16,0.9047,0.744625
"Agromyza ferruginosa.csv",10,0.8733,0.7718
"Agromyza flaviceps.csv",119,0.9329,0.623890756302521
"Agromyza hendeli.csv",5,0.7467,0.8764
"Agromyza johannae.csv",52,0.893,0.655576923076923
"Agromyza lithospermi.csv",9,0.843,0.788666666666667
"Agromyza myosotidis.csv",12,0.8728,0.7945
"Agromyza nigrescens.csv",26,0.7722,0.710653846153846
"Agromyza orobi.csv",7,0.9738,0.846428571428571
"Agromyza spiraeoidearum.csv",20,0.8551,0.72935
"Agromyza varicornis.csv",5,0.7359,0.8822
"Agromyza viciae.csv",5,0.6704,0.846
"Alliopsis atronitens.csv",11,0.9474,0.765045454545455
"Alliopsis dentiventris.csv",6,0.6744,0.846583333333333
"Alliopsis glacialis.csv",7,0.7609,0.799785714285714
"Alliopsis incisivalva.csv",52,0.7511,0.654653846153846
"Alliopsis longiceps.csv",5,0.9442,0.8564
"Alliopsis longipennis.csv",5,0.8896,0.8814
"Alliopsis maculifrons.csv",143,0.8637,0.612874125874126
"Alliopsis moerens.csv",8,0.8927,0.81225
"Alliopsis pilitarsis.csv",6,0.8929,0.840416666666667
"Alliopsis sepiella.csv",30,0.8277,0.692533333333333
"Alliopsis similaris.csv",5,0.9976,0.9077
"Allodia (Brachycampta) westerholti.csv",11,0.6585,0.802636363636364
"Amauromyza (Amauromyza) lamii.csv",5,0.6921,0.8995
"Ametrodiplosis thalictricola.csv",45,0.863,0.674833333333333
"Amictus variegatus.csv",5,0.8031,0.8846
"Amiota (Amiota) basdeni.csv",17,0.8491,0.755411764705882
"Amiota (Amiota) rufescens.csv",10,0.888,0.7808
"Amiota (Amiota) subtusradiata.csv",11,0.7404,0.772272727272727
"Amiota flavopruinosa.csv",5,0.7857,0.8744
"Amobia oculata.csv",5,0.8533,0.8662
"Anapausis floricola.csv",8,0.9428,0.821125
"Anapausis helvetica.csv",5,0.684,0.8956
"Anapausis inermis.csv",5,0.858,0.8879
"Anapausis soluta.csv",46,0.8722,0.664902173913044
"Anapausis talpae.csv",9,0.7494,0.801333333333333
"Anastoechus latifrons.csv",16,0.984,0.7376875
"Anastoechus nitidulus.csv",9,0.7515,0.816444444444444
"Anatella flavicauda.csv",11,0.7137,0.781318181818182
"Andrenosoma atrum.csv",86,0.8481,0.645837209302326
"Aneomochtherus flavicornis.csv",23,0.8791,0.732130434782609
"Aneomochtherus flavipes.csv",5,0.777,0.869
"Aneomochtherus ochriventris.csv",5,0.7929,0.8667
"Anevrina unispinosa.csv",40,0.7809,0.6829
"Angioneura cyrtoneurina.csv",8,0.9044,0.7856875
"Anthepiscopus oedalinus.csv",7,0.9375,0.847857142857143
"Anthodiplosis rudimentalis.csv",42,0.92,0.673690476190476
"Anthomyia cannabina.csv",10,0.8628,0.79715
"Anthomyia quinquemaculata.csv",19,0.9539,0.745894736842105
"Anthomyza dissors.csv",41,0.8069,0.674292682926829
"Anthrax aethiops.csv",21,0.7397,0.7485
"Anthrax binotatus.csv",5,0.6391,0.8658
"Anthrax trifasciatus.csv",79,0.8262,0.648620253164557
"Antipalus sinuatus.csv",5,0.922,0.8489
"Antiphrisson trifarius.csv",18,0.8068,0.763277777777778
"Antlemon (Antlemonopsis) servulum.csv",21,0.8899,0.744190476190476
"Aphanotrigonum brachypterum.csv",10,0.88,0.8005
"Aphanotrigonum cinctellum.csv",14,0.8399,0.779
"Aphanotrigonum fasciellum.csv",14,0.843,0.7545
