species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Amictus compressus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Amictus insularis,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Amictus pictus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Amictus pulchellus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Amictus validus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Amictus variegatus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anastoechus andalusiacus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anastoechus bitinctus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anastoechus exalbidus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anastoechus hyrcanus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anastoechus latifrons,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anastoechus nitidulus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anastoechus setosus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anastoechus stramineus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anastoechus trisignatus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax aethiops,Arthropoda,Insecta,Diptera,Bombyliidae,FE,,,,,gap,
Anthrax anthrax,Arthropoda,Insecta,Diptera,Bombyliidae,"BOLD,FE,iNat,SyDip",11.0,11.0,2.0,,,467365.0
Anthrax binotatus,Arthropoda,Insecta,Diptera,Bombyliidae,FE,,,,,gap,
Anthrax bowdeni,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax chionostigma,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax dentata,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax francoisi,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax giselae,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax johanni,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax pelopeius,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax pilosulus,Arthropoda,Insecta,Diptera,Bombyliidae,FE,,,,,gap,
Anthrax punctulatus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax sticticus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Anthrax trifasciatus,Arthropoda,Insecta,Diptera,Bombyliidae,"BOLD,FE,iNat,SyDip",0.0,2.0,0.0,,gap,676853.0
Anthrax varius,Arthropoda,Insecta,Diptera,Bombyliidae,"BOLD,FE,iNat,SyDip",8.0,8.0,1.0,,,483418.0
Anthrax virgo,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",1.0,1.0,1.0,,,983685.0
Anthrax zonabriphagus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Antonia suavissima,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Apolysis andalusiaca,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Apolysis cinerea,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Apolysis eremophila,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Apolysis fumipennis,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Apolysis langemarki,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Apolysis montivaga,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Beckerellus androgynus,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Bombomyia discoidea,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,SyDip,gap,
Bombomyia stictica,Arthropoda,Insecta,Diptera,Bombyliidae,FE,,,,,gap,
Bombylella atra,Arthropoda,Insecta,Diptera,Bombyliidae,"BOLD,FE,iNat,SyDip",8.0,8.0,0.0,,,1131404.0
Bombylisoma breviusculum,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
Bombylisoma croaticum,Arthropoda,Insecta,Diptera,Bombyliidae,"FE,SyDip",,,,,gap,
